experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
dim,D12,12,4,4042,ABC,892.3565685883492,107.64343141165084,1,0,15.338920400012285
dim,D12,12,4,4042,GWO,903.7047090609028,96.2952909390971,1,0,13.172393200045915
dim,D12,12,4,4042,FA,899.1198004279743,100.88019957202567,1,0,69.85570870002266
dim,D12,12,4,4042,PSO,906.0813067741336,93.91869322586643,1,0,9.779331400000956
dim,D12,12,4,4042,GA,905.0467244172596,94.9532755827405,1,0,20.00000960001489
dim,D12,12,4,4042,ACO,903.65476578792,96.34523421208004,1,0,18.070108000014443
dim,D12,12,5,5042,ABC,-100.73757776983707,100.73757776983707,0,1,15.58890509995399
dim,D12,12,5,5042,GWO,903.6657305591162,96.3342694408838,1,0,13.345042900007684
dim,D12,12,5,5042,FA,905.029609789044,94.97039021095604,1,0,33.9611348999897
dim,D12,12,5,5042,PSO,-101.81071357813194,101.81071357813194,0,1,9.41099609999219
dim,D12,12,5,5042,GA,895.8559217336469,104.1440782663531,1,0,19.13202929997351
dim,D12,12,5,5042,ACO,903.6328367214556,96.36716327854444,1,0,17.36337870004354
dim,D12,12,6,6042,ABC,-102.77485077568063,102.77485077568063,0,1,15.462996700021904
dim,D12,12,6,6042,GWO,-90.15111253776487,90.15111253776487,0,1,13.476034399995116
dim,D12,12,6,6042,FA,907.2119721972008,92.7880278027992,1,0,34.002239699999336
dim,D12,12,6,6042,PSO,-102.27440202846998,102.27440202846998,0,1,9.49140840000473
dim,D12,12,6,6042,GA,904.6162802271364,95.38371977286371,1,0,18.82535200001439
